Well,Mg-glutamate,K-glutamate,Spermidine,3-PGA,NTPs,HEPES,Malachite green,Amino acid_1,Amino acid_2,PEG-8000_1,PEG-8000_2,DNA_1,DNA_2,DNA_3,Water_1,Water_2,Water_3
A1,0.0,0.0,27.5,337.5,152.5,262.5,105.0,880.0,0.0,520.0,0.0,1000,1000.0,100.0,1000.0,585.0,0.0
B1,45.0,0.0,52.5,337.5,152.5,262.5,105.0,1000.0,312.5,1000.0,55.0,1000,1000.0,100.0,547.5,0.0,0.0
C1,22.5,0.0,27.5,337.5,152.5,262.5,105.0,1000.0,312.5,0.0,0.0,1000,1000.0,100.0,1000.0,650.0,0.0
D1,22.5,0.0,52.5,225.0,152.5,262.5,105.0,1000.0,312.5,0.0,0.0,1000,1000.0,100.0,1000.0,737.5,0.0
E1,45.0,0.0,80.0,337.5,152.5,262.5,105.0,1000.0,312.5,1000.0,55.0,1000,1000.0,100.0,520.0,0.0,0.0
F1,0.0,0.0,52.5,337.5,152.5,262.5,105.0,880.0,0.0,1000.0,55.0,1000,722.5,0.0,1000.0,402.5,0.0
G1,0.0,142.5,80.0,225.0,152.5,262.5,105.0,1000.0,312.5,1000.0,55.0,1000,1000.0,100.0,535.0,0.0,0.0
H1,22.5,142.5,80.0,337.5,152.5,262.5,105.0,655.0,0.0,787.5,0.0,1000,1000.0,100.0,1000.0,325.0,0.0
I1,0.0,277.5,80.0,225.0,152.5,262.5,105.0,1000.0,312.5,520.0,0.0,1000,1000.0,100.0,935.0,0.0,0.0
J1,0.0,277.5,27.5,337.5,152.5,262.5,105.0,880.0,0.0,787.5,0.0,1000,1000.0,100.0,1000.0,40.0,0.0
K1,0.0,142.5,27.5,337.5,152.5,262.5,105.0,655.0,0.0,267.5,0.0,1000,1000.0,100.0,1000.0,920.0,0.0
L1,22.5,0.0,52.5,225.0,152.5,262.5,105.0,880.0,0.0,0.0,0.0,1000,1000.0,100.0,1000.0,1000.0,170.0
M1,45.0,0.0,0.0,337.5,152.5,262.5,105.0,432.5,0.0,787.5,0.0,1000,1000.0,100.0,1000.0,747.5,0.0
N1,45.0,0.0,27.5,225.0,152.5,262.5,105.0,655.0,0.0,787.5,0.0,1000,1000.0,100.0,1000.0,610.0,0.0
O1,67.5,0.0,27.5,337.5,152.5,262.5,105.0,1000.0,312.5,1000.0,55.0,1000,722.5,0.0,927.5,0.0,0.0
P1,0.0,0.0,52.5,225.0,152.5,262.5,105.0,1000.0,312.5,520.0,0.0,1000,345.0,0.0,1000.0,995.0,0.0
A2,45.0,0.0,0.0,337.5,152.5,262.5,105.0,222.5,0.0,1000.0,55.0,1000,1000.0,100.0,1000.0,690.0,0.0
B2,22.5,277.5,27.5,337.5,152.5,262.5,105.0,655.0,0.0,267.5,0.0,1000,1000.0,100.0,1000.0,762.5,0.0
C2,45.0,0.0,0.0,337.5,152.5,262.5,105.0,222.5,0.0,787.5,0.0,1000,1000.0,100.0,1000.0,957.5,0.0
D2,0.0,142.5,80.0,170.0,152.5,262.5,105.0,880.0,0.0,787.5,0.0,1000,1000.0,100.0,1000.0,290.0,0.0
E2,45.0,142.5,52.5,337.5,152.5,262.5,105.0,222.5,0.0,1000.0,55.0,1000,1000.0,100.0,1000.0,495.0,0.0
F2,0.0,0.0,52.5,337.5,152.5,262.5,105.0,222.5,0.0,787.5,0.0,1000,722.5,0.0,1000.0,1000.0,327.5
G2,22.5,142.5,52.5,225.0,152.5,262.5,105.0,1000.0,312.5,1000.0,575.0,1000,1000.0,100.0,20.0,0.0,0.0
H2,45.0,142.5,27.5,225.0,152.5,262.5,105.0,1000.0,312.5,267.5,0.0,1000,722.5,0.0,1000.0,707.5,0.0
I2,22.5,420.0,80.0,225.0,152.5,262.5,105.0,1000.0,312.5,267.5,0.0,1000,1000.0,100.0,1000.0,22.5,0.0
J2,67.5,0.0,0.0,337.5,152.5,262.5,105.0,880.0,0.0,267.5,0.0,1000,1000.0,100.0,1000.0,797.5,0.0
K2,0.0,0.0,27.5,337.5,152.5,262.5,105.0,880.0,0.0,787.5,0.0,1000,345.0,0.0,1000.0,1000.0,72.5
L2,45.0,142.5,80.0,337.5,152.5,262.5,105.0,880.0,0.0,1000.0,55.0,1000,722.5,0.0,1000.0,187.5,0.0
M2,45.0,142.5,105.0,337.5,152.5,262.5,105.0,432.5,0.0,1000.0,55.0,1000,1000.0,100.0,1000.0,232.5,0.0
N2,0.0,420.0,80.0,337.5,152.5,262.5,105.0,1000.0,312.5,1000.0,55.0,1000,1000.0,100.0,145.0,0.0,0.0
O2,22.5,420.0,0.0,337.5,152.5,262.5,105.0,1000.0,312.5,1000.0,55.0,1000,1000.0,100.0,202.5,0.0,0.0
P2,90.0,0.0,27.5,337.5,152.5,262.5,105.0,432.5,0.0,1000.0,55.0,1000,1000.0,100.0,1000.0,407.5,0.0
A3,22.5,277.5,105.0,337.5,152.5,262.5,105.0,655.0,0.0,267.5,0.0,1000,1000.0,100.0,1000.0,685.0,0.0
B3,22.5,142.5,80.0,337.5,152.5,262.5,105.0,432.5,0.0,0.0,0.0,1000,1000.0,100.0,1000.0,1000.0,335.0
C3,45.0,0.0,80.0,225.0,152.5,262.5,105.0,880.0,0.0,520.0,0.0,1000,722.5,0.0,1000.0,977.5,0.0
D3,0.0,0.0,27.5,337.5,102.5,262.5,105.0,1000.0,312.5,520.0,0.0,1000,1000.0,100.0,1000.0,202.5,0.0
E3,45.0,142.5,52.5,170.0,152.5,262.5,105.0,1000.0,312.5,520.0,0.0,1000,722.5,0.0,1000.0,485.0,0.0
F3,22.5,277.5,52.5,170.0,152.5,262.5,105.0,1000.0,312.5,1000.0,55.0,1000,1000.0,100.0,460.0,0.0,0.0
G3,67.5,0.0,52.5,337.5,152.5,262.5,105.0,432.5,0.0,1000.0,55.0,1000,722.5,0.0,1000.0,782.5,0.0
H3,67.5,0.0,105.0,337.5,152.5,262.5,105.0,222.5,0.0,787.5,0.0,1000,1000.0,100.0,1000.0,830.0,0.0
I3,22.5,277.5,27.5,337.5,152.5,262.5,105.0,880.0,0.0,267.5,0.0,1000,722.5,0.0,1000.0,915.0,0.0
J3,45.0,142.5,105.0,337.5,152.5,262.5,105.0,1000.0,312.5,267.5,0.0,1000,722.5,0.0,1000.0,517.5,0.0
K3,0.0,0.0,52.5,225.0,152.5,262.5,105.0,1000.0,312.5,1000.0,575.0,1000,345.0,0.0,940.0,0.0,0.0
L3,0.0,0.0,0.0,337.5,152.5,262.5,105.0,0.0,0.0,787.5,0.0,1000,722.5,0.0,1000.0,1000.0,602.5
M3,45.0,277.5,52.5,225.0,152.5,262.5,105.0,1000.0,312.5,0.0,0.0,1000,722.5,0.0,1000.0,815.0,0.0
N3,22.5,0.0,27.5,337.5,152.5,262.5,105.0,0.0,0.0,1000.0,55.0,1000,722.5,0.0,1000.0,1000.0,285.0
O3,45.0,277.5,80.0,337.5,152.5,262.5,105.0,880.0,0.0,520.0,0.0,1000,722.5,0.0,1000.0,587.5,0.0
P3,22.5,0.0,0.0,170.0,152.5,262.5,105.0,880.0,0.0,1000.0,55.0,1000,722.5,0.0,1000.0,600.0,0.0
A4,22.5,142.5,0.0,57.5,152.5,262.5,105.0,1000.0,312.5,267.5,0.0,1000,1000.0,100.0,1000.0,547.5,0.0
B4,67.5,0.0,27.5,337.5,152.5,262.5,105.0,1000.0,312.5,0.0,0.0,1000,722.5,0.0,1000.0,982.5,0.0
C4,0.0,0.0,27.5,337.5,152.5,262.5,105.0,880.0,0.0,520.0,0.0,1000,1000.0,100.0,1000.0,585.0,0.0
D4,45.0,0.0,52.5,337.5,152.5,262.5,105.0,1000.0,312.5,1000.0,55.0,1000,1000.0,100.0,547.5,0.0,0.0
E4,22.5,0.0,27.5,337.5,152.5,262.5,105.0,1000.0,312.5,0.0,0.0,1000,1000.0,100.0,1000.0,650.0,0.0
F4,22.5,0.0,52.5,225.0,152.5,262.5,105.0,1000.0,312.5,0.0,0.0,1000,1000.0,100.0,1000.0,737.5,0.0
G4,45.0,0.0,80.0,337.5,152.5,262.5,105.0,1000.0,312.5,1000.0,55.0,1000,1000.0,100.0,520.0,0.0,0.0
H4,0.0,0.0,52.5,337.5,152.5,262.5,105.0,880.0,0.0,1000.0,55.0,1000,722.5,0.0,1000.0,402.5,0.0
I4,0.0,142.5,80.0,225.0,152.5,262.5,105.0,1000.0,312.5,1000.0,55.0,1000,1000.0,100.0,535.0,0.0,0.0
J4,22.5,142.5,80.0,337.5,152.5,262.5,105.0,655.0,0.0,787.5,0.0,1000,1000.0,100.0,1000.0,325.0,0.0
K4,0.0,277.5,80.0,225.0,152.5,262.5,105.0,1000.0,312.5,520.0,0.0,1000,1000.0,100.0,935.0,0.0,0.0
