	Mg-glutamate	K-glutamate	Amino acid	Spermidine	3-PGA	NTPs	PEG-8000	DNA	HEPES	Malachite green
0	0.0	0.0	880.0	27.5	337.5	152.5	520.0	2100.0	262.5	105.0
1	45.0	0.0	1312.5	52.5	337.5	152.5	1055.0	2100.0	262.5	105.0
2	22.5	0.0	1312.5	27.5	337.5	152.5	0.0	2100.0	262.5	105.0
3	22.5	0.0	1312.5	52.5	225.0	152.5	0.0	2100.0	262.5	105.0
4	45.0	0.0	1312.5	80.0	337.5	152.5	1055.0	2100.0	262.5	105.0
5	0.0	0.0	880.0	52.5	337.5	152.5	1055.0	1722.5	262.5	105.0
6	0.0	142.5	1312.5	80.0	225.0	152.5	1055.0	2100.0	262.5	105.0
7	22.5	142.5	655.0	80.0	337.5	152.5	787.5	2100.0	262.5	105.0
8	0.0	277.5	1312.5	80.0	225.0	152.5	520.0	2100.0	262.5	105.0
9	0.0	277.5	880.0	27.5	337.5	152.5	787.5	2100.0	262.5	105.0
10	0.0	142.5	655.0	27.5	337.5	152.5	267.5	2100.0	262.5	105.0
11	22.5	0.0	880.0	52.5	225.0	152.5	0.0	2100.0	262.5	105.0
12	45.0	0.0	432.5	0.0	337.5	152.5	787.5	2100.0	262.5	105.0
13	45.0	0.0	655.0	27.5	225.0	152.5	787.5	2100.0	262.5	105.0
14	67.5	0.0	1312.5	27.5	337.5	152.5	1055.0	1722.5	262.5	105.0
15	0.0	0.0	1312.5	52.5	225.0	152.5	520.0	1345.0	262.5	105.0
16	45.0	0.0	222.5	0.0	337.5	152.5	1055.0	2100.0	262.5	105.0
17	22.5	277.5	655.0	27.5	337.5	152.5	267.5	2100.0	262.5	105.0
18	45.0	0.0	222.5	0.0	337.5	152.5	787.5	2100.0	262.5	105.0
19	0.0	142.5	880.0	80.0	170.0	152.5	787.5	2100.0	262.5	105.0
20	45.0	142.5	222.5	52.5	337.5	152.5	1055.0	2100.0	262.5	105.0
21	0.0	0.0	222.5	52.5	337.5	152.5	787.5	1722.5	262.5	105.0
22	22.5	142.5	1312.5	52.5	225.0	152.5	1575.0	2100.0	262.5	105.0
23	45.0	142.5	1312.5	27.5	225.0	152.5	267.5	1722.5	262.5	105.0
24	22.5	420.0	1312.5	80.0	225.0	152.5	267.5	2100.0	262.5	105.0
25	67.5	0.0	880.0	0.0	337.5	152.5	267.5	2100.0	262.5	105.0
26	0.0	0.0	880.0	27.5	337.5	152.5	787.5	1345.0	262.5	105.0
27	45.0	142.5	880.0	80.0	337.5	152.5	1055.0	1722.5	262.5	105.0
28	45.0	142.5	432.5	105.0	337.5	152.5	1055.0	2100.0	262.5	105.0
29	0.0	420.0	1312.5	80.0	337.5	152.5	1055.0	2100.0	262.5	105.0
30	22.5	420.0	1312.5	0.0	337.5	152.5	1055.0	2100.0	262.5	105.0
31	90.0	0.0	432.5	27.5	337.5	152.5	1055.0	2100.0	262.5	105.0
32	22.5	277.5	655.0	105.0	337.5	152.5	267.5	2100.0	262.5	105.0
33	22.5	142.5	432.5	80.0	337.5	152.5	0.0	2100.0	262.5	105.0
34	45.0	0.0	880.0	80.0	225.0	152.5	520.0	1722.5	262.5	105.0
35	0.0	0.0	1312.5	27.5	337.5	102.5	520.0	2100.0	262.5	105.0
36	45.0	142.5	1312.5	52.5	170.0	152.5	520.0	1722.5	262.5	105.0
37	22.5	277.5	1312.5	52.5	170.0	152.5	1055.0	2100.0	262.5	105.0
38	67.5	0.0	432.5	52.5	337.5	152.5	1055.0	1722.5	262.5	105.0
39	67.5	0.0	222.5	105.0	337.5	152.5	787.5	2100.0	262.5	105.0
40	22.5	277.5	880.0	27.5	337.5	152.5	267.5	1722.5	262.5	105.0
41	45.0	142.5	1312.5	105.0	337.5	152.5	267.5	1722.5	262.5	105.0
42	0.0	0.0	1312.5	52.5	225.0	152.5	1575.0	1345.0	262.5	105.0
43	0.0	0.0	0.0	0.0	337.5	152.5	787.5	1722.5	262.5	105.0
44	45.0	277.5	1312.5	52.5	225.0	152.5	0.0	1722.5	262.5	105.0
45	22.5	0.0	0.0	27.5	337.5	152.5	1055.0	1722.5	262.5	105.0
46	45.0	277.5	880.0	80.0	337.5	152.5	520.0	1722.5	262.5	105.0
47	22.5	0.0	880.0	0.0	170.0	152.5	1055.0	1722.5	262.5	105.0
48	22.5	142.5	1312.5	0.0	57.5	152.5	267.5	2100.0	262.5	105.0
49	67.5	0.0	1312.5	27.5	337.5	152.5	0.0	1722.5	262.5	105.0
50	0.0	0.0	880.0	27.5	337.5	152.5	520.0	2100.0	262.5	105.0
51	45.0	0.0	1312.5	52.5	337.5	152.5	1055.0	2100.0	262.5	105.0
52	22.5	0.0	1312.5	27.5	337.5	152.5	0.0	2100.0	262.5	105.0
53	22.5	0.0	1312.5	52.5	225.0	152.5	0.0	2100.0	262.5	105.0
54	45.0	0.0	1312.5	80.0	337.5	152.5	1055.0	2100.0	262.5	105.0
55	0.0	0.0	880.0	52.5	337.5	152.5	1055.0	1722.5	262.5	105.0
56	0.0	142.5	1312.5	80.0	225.0	152.5	1055.0	2100.0	262.5	105.0
57	22.5	142.5	655.0	80.0	337.5	152.5	787.5	2100.0	262.5	105.0
58	0.0	277.5	1312.5	80.0	225.0	152.5	520.0	2100.0	262.5	105.0
59	0.0	277.5	880.0	27.5	337.5	152.5	787.5	2100.0	262.5	105.0
60	0.0	142.5	655.0	27.5	337.5	152.5	267.5	2100.0	262.5	105.0
61	22.5	0.0	880.0	52.5	225.0	152.5	0.0	2100.0	262.5	105.0
62	45.0	0.0	432.5	0.0	337.5	152.5	787.5	2100.0	262.5	105.0
63	45.0	0.0	655.0	27.5	225.0	152.5	787.5	2100.0	262.5	105.0
64	67.5	0.0	1312.5	27.5	337.5	152.5	1055.0	1722.5	262.5	105.0
65	0.0	0.0	1312.5	52.5	225.0	152.5	520.0	1345.0	262.5	105.0
66	45.0	0.0	222.5	0.0	337.5	152.5	1055.0	2100.0	262.5	105.0
67	22.5	277.5	655.0	27.5	337.5	152.5	267.5	2100.0	262.5	105.0
68	45.0	0.0	222.5	0.0	337.5	152.5	787.5	2100.0	262.5	105.0
