Well,Mg-glutamate,K-glutamate,Spermidine,3-PGA,NTPs,HEPES,Malachite green,Amino acid_1,Amino acid_2,PEG-8000_1,PEG-8000_2,DNA_1,DNA_2,DNA_3,Water_1,Water_2,Water_3
B1,19300.0,,,,,,,,,,,,,,,,
C1,,31000.0,,,,,,,,,,,,,,,
D1,,,22100.0,,,,,,,,,,,,,,
E1,,,,58700.0,,,,,,,,,,,,,
F1,,,,,37700.0,,,,,,,,,,,,
G1,,,,,,54400.0,,,,,,,,,,,
H1,,,,,,,30800.0,,,,,,,,,,
I1,,,,,,,,60000.0,,,,,,,,,
J1,,,,,,,,60000.0,,,,,,,,,
K1,,,,,,,,39300.0,,,,,,,,,
L1,,,,,,,,,34700.0,,,,,,,,
M1,,,,,,,,,,60000.0,,,,,,,
N1,,,,,,,,,,60000.0,,,,,,,
O1,,,,,,,,,,20800.0,,,,,,,
P1,,,,,,,,,,,21100.0,,,,,,
A2,,,,,,,,,,,,60000.0,,,,,
B2,,,,,,,,,,,,60000.0,,,,,
C2,,,,,,,,,,,,60000.0,,,,,
D2,,,,,,,,,,,,30000.0,,,,,
E2,,,,,,,,,,,,,60000.0,,,,
F2,,,,,,,,,,,,,60000.0,,,,
G2,,,,,,,,,,,,,55800.0,,,,
H2,,,,,,,,,,,,,,24300.0,,,
I2,,,,,,,,,,,,,,,30000.0,,
J2,,,,,,,,,,,,,,,30000.0,,
K2,,,,,,,,,,,,,,,30000.0,,
L2,,,,,,,,,,,,,,,30000.0,,
M2,,,,,,,,,,,,,,,30000.0,,
N2,,,,,,,,,,,,,,,30000.0,,
O2,,,,,,,,,,,,,,,30000.0,,
P2,,,,,,,,,,,,,,,30000.0,,
A3,,,,,,,,,,,,,,,30000.0,,
B3,,,,,,,,,,,,,,,15700.0,,
C3,,,,,,,,,,,,,,,,30000.0,
D3,,,,,,,,,,,,,,,,30000.0,
E3,,,,,,,,,,,,,,,,30000.0,
F3,,,,,,,,,,,,,,,,30000.0,
G3,,,,,,,,,,,,,,,,30000.0,
H3,,,,,,,,,,,,,,,,19500.0,
I3,,,,,,,,,,,,,,,,,20400.0
